[0.006s][info][gc] Using Parallel
[3.449s][info ][safepoint      ] Leaving safepoint region
[3.449s][info ][safepoint      ] Total time for which application threads were stopped: 0.0002762 seconds, Stopping threads took: 0.0001872 seconds
[3.449s][info ][safepoint      ] Application time: 0.0000814 seconds
[3.449s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.449s][info ][safepoint      ] Leaving safepoint region
[3.449s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001151 seconds, Stopping threads took: 0.0000636 seconds
[3.449s][info ][safepoint      ] Application time: 0.0001080 seconds
[3.449s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.449s][info ][safepoint      ] Leaving safepoint region
[3.449s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000485 seconds, Stopping threads took: 0.0000076 seconds
[3.449s][info ][safepoint      ] Application time: 0.0000592 seconds
[3.449s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.449s][info ][safepoint      ] Leaving safepoint region
[3.449s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001240 seconds, Stopping threads took: 0.0000798 seconds
[3.449s][info ][safepoint      ] Application time: 0.0000405 seconds
[3.450s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.450s][info ][safepoint      ] Leaving safepoint region
[3.450s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000833 seconds, Stopping threads took: 0.0000437 seconds
[3.450s][info ][safepoint      ] Application time: 0.0001334 seconds
[3.450s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.450s][info ][safepoint      ] Leaving safepoint region
[3.450s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000964 seconds, Stopping threads took: 0.0000619 seconds
[3.450s][info ][safepoint      ] Application time: 0.0000917 seconds
[3.450s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.450s][info ][safepoint      ] Leaving safepoint region
[3.450s][info ][safepoint      ] Total time for which application threads were stopped: 0.0003378 seconds, Stopping threads took: 0.0002892 seconds
[3.450s][info ][safepoint      ] Application time: 0.0000854 seconds
[3.451s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.451s][info ][safepoint      ] Leaving safepoint region
[3.451s][info ][safepoint      ] Total time for which application threads were stopped: 0.0002209 seconds, Stopping threads took: 0.0001814 seconds
[3.451s][info ][safepoint      ] Application time: 0.0001357 seconds
